Date,Store,Footfall,Orders,Total Sales,Day Type
2025-03-09,Delhi,60,5,10700,Weekend
2025-03-10,Jammu,58,30,54400,Weekday
2025-03-10,Punjab,20,16,33200,Weekday
2025-03-10,Delhi,21,17,35500,Weekday
2025-03-11,Jammu,76,15,30800,Weekday
2025-03-11,Punjab,33,5,10600,Weekday
2025-03-11,Delhi,22,6,10300,Weekday
2025-03-12,Jammu,71,7,13500,Weekday
2025-03-12,Punjab,75,29,52300,Weekday
2025-03-12,Delhi,35,8,11600,Weekday
2025-03-13,Jammu,20,11,21500,Weekday
2025-03-13,Punjab,67,8,13500,Weekday
2025-03-13,Delhi,57,12,25800,Weekday
2025-03-14,Jammu,21,7,10400,Weekday
2025-03-14,Punjab,60,19,34200,Weekday
2025-03-14,Delhi,58,27,56800,Weekday
2025-03-15,Jammu,47,9,16800,Weekend
2025-03-15,Punjab,41,20,38500,Weekend
2025-03-15,Delhi,35,7,10400,Weekend
2025-03-16,Jammu,41,27,47300,Weekend
2025-03-16,Punjab,75,25,47800,Weekend
2025-03-16,Delhi,61,26,42100,Weekend
2025-03-17,Jammu,28,15,24900,Weekday
2025-03-17,Punjab,46,19,37400,Weekday
2025-03-17,Delhi,27,12,17500,Weekday
2025-03-18,Jammu,30,5,8500,Weekday
2025-03-18,Punjab,62,23,40500,Weekday
2025-03-18,Delhi,24,24,40900,Weekday
2025-03-19,Jammu,68,11,22000,Weekday
2025-03-19,Punjab,75,6,10600,Weekday
2025-03-19,Delhi,45,8,17900,Weekday
2025-03-20,Jammu,28,17,35800,Weekday
2025-03-20,Punjab,27,12,17000,Weekday
2025-03-20,Delhi,31,15,29300,Weekday
2025-03-21,Jammu,41,18,35200,Weekday
2025-03-21,Punjab,34,22,34900,Weekday
2025-03-21,Delhi,65,5,7600,Weekday
2025-03-22,Jammu,23,23,38900,Weekend
2025-03-22,Punjab,72,15,23400,Weekend
2025-03-22,Delhi,69,10,18500,Weekend
2025-03-23,Jammu,43,29,51100,Weekend
2025-03-23,Punjab,77,10,21000,Weekend
2025-03-23,Delhi,70,25,50400,Weekend
2025-03-24,Jammu,62,8,13600,Weekday
2025-03-24,Punjab,60,24,39500,Weekday
2025-03-24,Delhi,73,9,18200,Weekday
2025-03-25,Jammu,27,15,24300,Weekday
2025-03-25,Punjab,43,11,21000,Weekday
2025-03-25,Delhi,35,10,24000,Weekday
2025-03-26,Jammu,26,15,31100,Weekday
2025-03-26,Punjab,70,26,50500,Weekday
2025-03-26,Delhi,24,15,32700,Weekday
2025-03-27,Jammu,26,7,15000,Weekday
2025-03-27,Punjab,28,5,12800,Weekday
2025-03-27,Delhi,60,16,24300,Weekday
2025-03-28,Jammu,59,7,13300,Weekday
2025-03-28,Punjab,58,14,25700,Weekday
2025-03-28,Delhi,48,12,21200,Weekday
2025-03-29,Jammu,54,12,26400,Weekend
2025-03-29,Punjab,27,20,36500,Weekend
2025-03-29,Delhi,25,12,20700,Weekend
2025-03-30,Jammu,32,17,25300,Weekend
2025-03-30,Punjab,49,13,27100,Weekend
2025-03-30,Delhi,56,10,14600,Weekend
2025-03-31,Jammu,33,8,14800,Weekday
2025-03-31,Punjab,72,29,51900,Weekday
2025-03-31,Delhi,43,24,40900,Weekday
